Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	Sex	Tumor	Submission	Consent	RunHash	ReadHash
SRR1865088	2015-03-16 10:19:12	2015-03-07 23:50:57	27782147	5611993694	27782147	202	3973	https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001821/SRR1865088	SRX910971	SLi5WH.Hv-Fh4-1_1TAG	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	424	0	ILLUMINA	Illumina HiSeq 2000	SRP055946	PRJNA275756	N/A	275756	SRS874691	SAMN03379868	simple	197043	Homalodisca vitripennis	HVIT.00- female	female	no	SRA245939	public	F0FF65AFB3E431DD98648758D8DE9370	FF516B14372735C04202B5733476B810
SRR1865089	2015-03-07 23:51:55	2015-03-07 23:49:00	16679474	3369253748	16679474	202	2394	https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001821/SRR1865089	SRX910972	SLi5WH.Hv-Mh6-1_1TAG	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	403	0	ILLUMINA	Illumina HiSeq 2000	SRP055946	PRJNA275756	N/A	275756	SRS867577	SAMN03379869	simple	197043	Homalodisca vitripennis	HVIT.00-male	male	no	SRA245940	public	12DD9FFA471DDE95B5B7ED96C61214A2	561BBEF7146C4AD4789615A3EDBFF80D
SRR2095935	2015-07-11 12:32:37	2015-07-11 12:30:00	22173437	798243732	0	36	468	https://sra-download.ncbi.nlm.nih.gov/traces/sra31/SRR/002046/SRR2095935	SRX1090328	small RNA library	RNA-Seq	RANDOM	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP060579	PRJNA289427	N/A	289427	SRS985993	SAMN03853644	simple	197043	Homalodisca vitripennis	H. vitripennis small RNAs	N/A	no	SRA276344	public	405F9616D67D4958F3FF1B5CF5E60FFF	089B0BBC136143168306C8E617E0864F
SRR954044	2014-03-19 00:00:00	2013-08-19 23:44:07	25879672	1319863272	0	51	643	https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/000931/SRR954044	SRX336675	Homalodisca vitripennis transcriptome	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	51	0	ILLUMINA	Illumina Genome Analyzer II	SRP028909	PRJNA215794	N/A	215794	SRS471473	SAMN02319001	simple	197043	Homalodisca vitripennis	Transcriptome of Homalodisca vitripennis	male and female	no	SRA098169	public	E040230339691803DA67E6790F6DE126	5B94FE93867B2DA5A5B4E4C1D2B50931
